Set,Category,ImagePath
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10118481.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10120469.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10131352.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10161559.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1021836.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10269675.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10278738.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10290703.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10295477.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10315441.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10316849.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10333072.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10334355.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10345473.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10422050.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10485618.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10503476.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10524198.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10539399.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10592361.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10595751.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_10608067.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1119091.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1120923.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1127865.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1133567.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1173634.jpg
